	platform_id	platform	neighbourhood	furniture	property_type	size_sqm	bedrooms	bathrooms	price	price_sqm	price_bedroom	available_from	available_today	let_type	detailed_furniture	scraping_date
107	127005596	Rightmove	Hammersmith and Fulham	furnished	Apartment		3.0	3.0	5720.0		1906.67	2022-10-12	available	Long term	flexible	2022-10-12
108	85899510	Rightmove	Hackney	unfurnished	Flat		1.0	1.0	1450.0		1450.0	2022-12-10	occupied	Long term	unfurnished	2022-10-12
109	641245	Spotahome	Hackney	furnished	Apartment		3.0		6000.0		2000.0	2022-11-26	occupied		furnished	2022-10-12
110	127854464	Rightmove	Hammersmith and Fulham	unfurnished	Apartment		2.0	2.0	2750.0		1375.0	2022-10-21	occupied	Long term	unfurnished	2022-10-12
111	85917834	Rightmove	Lambeth	furnished	Penthouse		2.0	2.0	2145.0		1072.5			Long term	furnished	2022-10-12
112	467433	Spotahome	City of London	furnished	Apartment	50.0	1.0	1.0	6970.0	139.4	6970.0	2022-11-02	occupied		furnished	2022-10-12
113	643242	Spotahome	Kensington and Chelsea	furnished	Apartment		1.0		4900.0		4900.0	2022-10-29	occupied		furnished	2022-10-12
114	123978116	Rightmove	Camden	furnished	Apartment		1.0	1.0	3012.0		3012.0	2022-10-12	available	Long term	furnished	2022-10-12
115	125628824	Rightmove	Islington	unfurnished	Flat	127.0	2.0	2.0	2700.0	21.26	1350.0			Long term	unfurnished	2022-10-12
116	99039644	Rightmove	Hammersmith and Fulham	furnished	Apartment	83.0	3.0	2.0	5850.0	70.48	1950.0	2022-11-01	occupied	Long term	furnished	2022-10-12
117	55079074	Rightmove	Hammersmith and Fulham	furnished	Apartment	88.0	3.0	2.0	4788.0	54.41	1596.0	2022-10-12	available	Long term	furnished	2022-10-12
118	127487561	Rightmove	Tower Hamlets	furnished	Apartment		3.0	3.0	4200.0		1400.0			Long term	furnished	2022-10-12
119	84868017	Rightmove	City of London	furnished	Flat		3.0	3.0	5750.0		1916.67			Long term	flexible	2022-10-12
120	80319317	Rightmove	Hackney	furnished	Apartment	70.0	2.0	2.0	2600.0	37.14	1300.0	2022-11-26	occupied	Long term	furnished	2022-10-12
121	127834949	Rightmove	City of Westminster	unfurnished	Apartment		2.0	2.0	4983.0		2491.5	2022-10-14	occupied	Long term	unfurnished	2022-10-12
122	85896432	Rightmove	Tower Hamlets	furnished	Apartment		2.0	2.0	2100.0		1050.0	2022-10-31	occupied	Long term	furnished	2022-10-12
123	120903587	Rightmove	Tower Hamlets	furnished	Apartment	59.0	1.0	1.0	4540.0	76.95	4540.0	2023-10-23	occupied	Long term	furnished	2022-10-12
124	127553672	Rightmove	City of Westminster	furnished	Flat	109.0	3.0	2.0	18048.0	165.58	6016.0			Short term	furnished	2022-10-12
125	126997646	Rightmove	Camden	furnished	Flat		1.0	1.0	3500.0		3500.0	2023-01-06	occupied	Short term	furnished	2022-10-12
126	125570975	Rightmove	City of London	furnished	Flat		1.0	1.0	3450.0		3450.0			Long term	furnished	2022-10-12
127	852328	Spotahome	Kensington and Chelsea	furnished	Apartment	57.0	2.0	1.0	7125.0	125.0	3562.5	2022-12-18	occupied		furnished	2022-10-12
128	127650545	Rightmove	City of Westminster	furnished	Flat		2.0	1.0	3445.0		1722.5			Long term	furnished	2022-10-12
129	123222467	Rightmove	Tower Hamlets	furnished	Apartment	51.0	1.0	1.0	4550.0	89.22	4550.0	2023-06-16	occupied	Long term	furnished	2022-10-12
130	707432	Spotahome	Camden	furnished	Apartment		2.0		5262.0		2631.0	2023-01-08	occupied		furnished	2022-10-12
131	126986138	Rightmove	Camden	furnished	Flat		3.0	2.0	6000.0		2000.0	2022-10-12	available	Long term	furnished	2022-10-12
132	126634166	Rightmove	Kensington and Chelsea	furnished	Flat		2.0	1.0	5742.0		2871.0	2022-10-23	occupied	Short term	furnished	2022-10-12
133	116749931	Rightmove	Tower Hamlets	unfurnished	Apartment		1.0	1.0	2990.0		2990.0	2022-10-12	available	Long term	part furnished	2022-10-12
134	127865390	Rightmove	Kensington and Chelsea	furnished	Apartment		1.0	1.0	2817.0		2817.0			Long term	furnished	2022-10-12
135	127791545	Rightmove	Camden	furnished	Flat		2.0	1.0	1999.0		999.5	2022-11-08	occupied	Long term	furnished	2022-10-12
136	127344197	Rightmove	Kensington and Chelsea	furnished	Flat		2.0	1.0	3575.0		1787.5	2022-10-31	occupied	Long term	furnished	2022-10-12
137	126853544	Rightmove	Camden	furnished	Studio		0.0	1.0	1668.0		1668.0			Long term	furnished	2022-10-12
138	777722	Spotahome	Tower Hamlets	furnished	Apartment		2.0	1.0	4658.5		2329.0	2023-06-24	occupied		furnished	2022-10-12
139	127856558	Rightmove	Camden	unfurnished	Apartment		1.0	1.0	2145.0		2145.0	2022-10-20	occupied	Long term	unfurnished	2022-10-12
140	123215636	Rightmove	Islington	furnished	Apartment	46.0	1.0	1.0	3700.0	80.43	3700.0	2023-01-18	occupied	Long term	furnished	2022-10-12
