	platform_id	platform	neighborhood	property_type	housing_type	price_pcm	title	furnished	available_from	available_from_0	available_from_1	available_from_2
176	689200	spotahome	City of Westminster	studios	Studio	2930	Studio apartment for rent in Marylebone, London	furnished	23 October 2023	23	October	2023
177	388755	spotahome	City of Westminster	studios	Studio	2613	A Studio t for rent in Bayswater, London	furnished	28 June 2023	28	June	2023
178	818633	spotahome	City of Westminster	studios	Studio	2930	Studio apartment for rent in London	furnished	9 April 2023	9	April	2023
179	641804	spotahome	City of Westminster	studios	Studio	4407	Studio apartment for rent in Marylebone, London	furnished	21 September 2023	21	September	2023
180	462707	spotahome	City of Westminster	studios	Studio	2250	1-Bedroom Studio in Bayswater, London	furnished	18 October 2023	18	October	2023
181	477499	spotahome	City of Westminster	studios	Studio	2670	Studio apartment for rent in London	furnished	25 September 2023	25	September	2023
182	441357	spotahome	City of Westminster	studios	Studio	2250	1-Bedroom Studio in Bayswater, London	furnished	24 September 2023	24	September	2023
183	438863	spotahome	City of Westminster	studios	Studio	2250	Studio in London	furnished	3 September 2023	3	September	2023
184	641828	spotahome	City of Westminster	studios	Studio	3915	Studio apartment for rent in Marylebone, London	furnished	5 December 2023	5	December	2023
185	441358	spotahome	City of Westminster	studios	Studio	2660	1-Bedroom Studio in Bayswater, London	furnished	9 August 2023	9	August	2023
186	754765	spotahome	City of Westminster	studios	Studio	2670	Studio for rent in Bayswater, London	furnished	29 June 2023	29	June	2023
187	689201	spotahome	City of Westminster	studios	Studio	3422	Studio apartment for rent in Marylebone, London	furnished	10 December 2023	10	December	2023
188	476681	spotahome	City of Westminster	studios	Studio	2683	Studio in London	furnished	30 September 2023	30	September	2023
189	414583	spotahome	Camden	studios	Studio	4246	Serviced Studio Apartment for rent in Regents Park, London	furnished	26 October	26	October	
190	414658	spotahome	Camden	studios	Studio	5460	Serviced Studio Apartment Executive in Regents Park, London	furnished	4 October	4	October	
191	382452	spotahome	Camden	studios	Studio	1795	Studio flat to rent in Camden Town, London	furnished	11 January 2023	11	January	2023
192	641937	spotahome	Camden	studios	Studio	2930	Studio apartment for rent in Cricklewood, London	furnished	18 December	18	December	
193	641882	spotahome	Camden	studios	Studio	2930	Studio apartment for rent in West Hampstead, London	furnished	19 November	19	November	
194	600996	spotahome	Camden	studios	Studio	1495	Studio for students only in a residence in Camden Town	furnished	11 January 2023	11	January	2023
195	601066	spotahome	Camden	studios	Studio	1508	Studio for students only in a residence in Camden Town	furnished	11 January 2023	11	January	2023
196	601027	spotahome	Camden	studios	Studio	1520	Studio for students only in a residence in Camden Town	furnished	11 January 2023	11	January	2023
197	641874	spotahome	Camden	studios	Studio	3176	Studio apartment for rent in West Hampstead, London	furnished	30 December	30	December	
198	601083	spotahome	Camden	studios	Studio	1690	Studio for students only in a residence in Camden Town	furnished	11 January 2023	11	January	2023
199	382457	spotahome	Camden	studios	Studio	1755	Studio flat to rent in Camden Town, London	furnished	11 January 2023	11	January	2023
200	382479	spotahome	Camden	studios	Studio	1755	Studio flat to rent in Camden Town, London	furnished	11 January 2023	11	January	2023
201	382481	spotahome	Camden	studios	Studio	1755	Studio flat to rent in Camden Town, London	furnished	11 January 2023	11	January	2023
202	641913	spotahome	Camden	studios	Studio	2684	Studio apartment for rent in Cricklewood, London	furnished	27 November	27	November	
203	601022	spotahome	Camden	studios	Studio	1586	Studio for students only in a residence in Camden Town	furnished	11 January 2023	11	January	2023
204	382488	spotahome	Camden	studios	Studio	1755	Studio flat to rent in Camden Town, London	furnished	11 January 2023	11	January	2023
205	382472	spotahome	Camden	studios	Studio	1755	Studio flat to rent in Camden Town, London	furnished	11 January 2023	11	January	2023
